日付,感染者数1日,感染者数累計,死者数1日,死者数累計,平均気温,月,火,水,木,金,土,日,平日か休日か金曜か,祝日か祝日でないか,平日か休日か,祝日か祝日でないか祝日前日か,平日か休日かlast,平日か休日か休日の前日かlast,ラグ変数,曜日,週の前半後半1,月,週の前半後半2,降水量の合計mm,平均湿度,緊急事態宣言,ワクチン接種者数,退院者数累計,退院者数,入院中,軽症・中等症,重症,宿泊療養,自宅療養,調整中,PCR検査陽性者数,抗原検査陽性者数,PCR検査陰性者数,抗原検査陰性者数,検査人数7日間移動平均,陽性率,救急医療_東京ルール適用件数,救急医療_東京ルール適用件数_7日間移動平均値,日照時間hour,平均風速m/s,平均現地気圧hPa,平均雲量10分比,人動増減率前日比平均,感染者数の増加前日比,冬ダミー,感受性人口S,感染性人口I,SI,長期休暇ダミー,ラグ平均気温,ラグ平均湿度,ラグ緊急事態宣言,ラグ冬ダミー,ラグワクチン接種者数,ラグ長期休暇ダミー,正月ダミー,ラグ正月ダミー,ラグ人動増減率前日比平均,PCR検査数,抗原検査数,PCRと抗原検査数,小売娯楽の移動基準比,食料品店薬局の移動基準比,公園の移動基準比,乗換駅の移動基準比,職場の移動基準比,住宅の移動基準比,ラグ小売娯楽の移動基準比,ラグ食料品店薬局の移動基準比,ラグ公園の移動基準比,ラグ乗換駅の移動基準比,ラグ職場の移動基準比,ラグ住宅の移動基準比,人の動き平均,ラグ人の動き平均,ラグ日照時間,四季ダミー,ラグ四季ダミー,Sワクチン接種者抜き,Rワクチン接種者抜き,SIワクチン抜き,ラグSI,ラグSIワクチン抜き,アルファベータガンマ変異株陽性者数,デルタカッパ変異株陽性者数,変異株陽性者数,ラグアルファベータガンマ変異株陽性者数,ラグデルタカッパ変異株陽性者数,ラグ変異株陽性者数,ラグ変数従来株,自殺者数,実質GDP,ラグ実質GDP
2020/1/16,0,0,0,0,6.7,0,0,0,1,0,0,0,_平日(金曜除く),_祝日でない,_平日,_祝日でない,_平日,_平日,0,木,週の後半,1月,週の後半,0,49,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.2,1018.1,6.8,0,0,冬である,13951636,0,0,_なし,10.6,47,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/17,0,0,0,0,7.3,0,0,0,0,1,0,0,金曜,_祝日でない,_平日,_祝日でない,_平日,休日前日,0,金,週の後半,1月,週の後半,0,59,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,2.5,1016,10,0,0,冬である,13951636,0,0,_なし,8.4,59,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/18,0,0,0,0,3.8,0,0,0,0,0,1,0,休日,_祝日でない,休日,_祝日でない,休日,休日,0,土,週の後半,1月,週の後半,8.5,84,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1010.5,10,0,0,冬である,13951636,0,0,_なし,7,68,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/19,0,0,0,0,6.5,0,0,0,0,0,0,1,休日,_祝日でない,休日,_祝日でない,休日,休日,0,日,_週の前半,1月,週の後半,0,64,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.4,1011.3,5.3,0,0,冬である,13951636,0,0,_なし,6.7,72,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/20,0,0,0,0,7.5,1,0,0,0,0,0,0,_平日(金曜除く),_祝日でない,_平日,_祝日でない,_平日,_平日,0,月,_週の前半,1月,_週の前半,0,62,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,2,1009.1,2.3,0,0,冬である,13951636,0,0,_なし,8.5,68,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/21,0,0,0,0,7.4,0,1,0,0,0,0,0,_平日(金曜除く),_祝日でない,_平日,_祝日でない,_平日,_平日,0,火,_週の前半,1月,_週の前半,0,46,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3.8,1017.2,0,0,0,冬である,13951636,0,0,_なし,8.4,71,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/22,0,0,0,0,4.9,0,0,1,0,0,0,0,_平日(金曜除く),_祝日でない,_平日,_祝日でない,_平日,_平日,0,水,_週の前半,1月,_週の前半,0,55,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.9,1025.1,7.5,0,0,冬である,13951636,0,0,_なし,6.8,87,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/23,0,0,0,0,6.1,0,0,0,1,0,0,0,_平日(金曜除く),_祝日でない,_平日,_祝日でない,_平日,_平日,0,木,週の後半,1月,週の後半,2.5,84,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1018.2,9.8,0,0,冬である,13951636,0,0,_なし,6.7,49,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/24,1,1,0,0,9.9,0,0,0,0,1,0,0,金曜,_祝日でない,_平日,_祝日でない,_平日,休日前日,0,金,週の後半,1月,週の後半,0,73,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,1019,8.8,0,1,冬である,13951636,0,0,_なし,7.3,59,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,冬,冬,13951636,0,0,0,0,0,0,0,0,0,0,0,168,550551.5,550551.5
2020/1/25,1,2,0,0,7.8,0,0,0,0,0,1,0,休日,_祝日でない,休日,_祝日でない,休日,休日,1,土,週の後半,1月,週の後半,0,47,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.6,1024.6,9.8,0,0,冬である,13951635,1,13951635,_なし,3.8,84,_なし,冬である,0,_なし,_なし,_なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,冬,冬,13951635,0,13951635,0,0,0,0,0,0,0,0,1,168,550551.5,550551.5
