日付,感染者数1日,ラグ変数,感染者数累計,死者数1日,死者数累計,平均気温,月,火,水,木,金,土,日,曜日,平日休日
2020/1/16,0,0,0,0,0,6.7,0,0,0,1,0,0,0,木,平日
2020/1/17,0,0,0,0,0,7.3,0,0,0,0,1,0,0,金,平日
2020/1/18,0,0,0,0,0,3.8,0,0,0,0,0,1,0,土,休日
2020/1/19,0,0,0,0,0,6.5,0,0,0,0,0,0,1,日,休日
2020/1/20,0,0,0,0,0,7.5,1,0,0,0,0,0,0,月,平日
2020/1/21,0,0,0,0,0,7.4,0,1,0,0,0,0,0,火,平日
2020/1/22,0,0,0,0,0,4.9,0,0,1,0,0,0,0,水,平日
2020/1/23,0,0,0,0,0,6.1,0,0,0,1,0,0,0,木,平日
2020/1/24,1,0,1,0,0,9.9,0,0,0,0,1,0,0,金,平日
2020/1/25,1,1,2,0,0,7.8,0,0,0,0,0,1,0,土,休日
2020/1/26,0,1,2,0,0,5,0,0,0,0,0,0,1,日,休日
2020/1/27,0,0,2,0,0,5.1,1,0,0,0,0,0,0,月,平日
2020/1/28,0,0,2,0,0,4.4,0,1,0,0,0,0,0,火,平日
2020/1/29,0,0,2,0,0,11.8,0,0,1,0,0,0,0,水,平日
2020/1/30,1,0,3,0,0,11.7,0,0,0,1,0,0,0,木,平日
2020/1/31,0,1,3,0,0,8.1,0,0,0,0,1,0,0,金,平日
2020/2/1,0,0,3,0,0,7.9,0,0,0,0,0,1,0,土,休日
2020/2/2,0,0,3,0,0,8.7,0,0,0,0,0,0,1,日,休日
2020/2/3,0,0,3,0,0,9.3,1,0,0,0,0,0,0,月,平日
2020/2/4,0,0,3,0,0,7.9,0,1,0,0,0,0,0,火,平日
2020/2/5,0,0,3,0,0,7.6,0,0,1,0,0,0,0,水,平日
2020/2/6,0,0,3,0,0,2.9,0,0,0,1,0,0,0,木,平日
2020/2/7,0,0,3,0,0,2.4,0,0,0,0,1,0,0,金,平日
2020/2/8,0,0,3,0,0,6.2,0,0,0,0,0,1,0,土,休日
2020/2/9,0,0,3,0,0,3.9,0,0,0,0,0,0,1,日,休日
2020/2/10,0,0,3,0,0,4.6,1,0,0,0,0,0,0,月,平日
2020/2/11,0,0,3,0,0,6.3,0,1,0,0,0,0,0,火,平日
2020/2/12,0,0,3,0,0,8.7,0,0,1,0,0,0,0,水,平日
2020/2/13,1,0,4,0,0,11.7,0,0,0,1,0,0,0,木,平日
2020/2/14,2,1,6,0,0,12,0,0,0,0,1,0,0,金,平日
2020/2/15,8,2,14,0,0,12.4,0,0,0,0,0,1,0,土,休日
2020/2/16,5,8,19,0,0,9.3,0,0,0,0,0,0,1,日,休日
2020/2/17,0,5,19,0,0,10.3,1,0,0,0,0,0,0,月,平日
2020/2/18,3,0,22,0,0,7.6,0,1,0,0,0,0,0,火,平日
2020/2/19,3,3,25,0,0,8.1,0,0,1,0,0,0,0,水,平日
2020/2/20,0,3,25,0,0,9,0,0,0,1,0,0,0,木,平日
2020/2/21,3,0,28,0,0,10,0,0,0,0,1,0,0,金,平日
2020/2/22,1,3,29,0,0,12.5,0,0,0,0,0,1,0,土,休日
2020/2/23,0,1,29,0,0,10.4,0,0,0,0,0,0,1,日,休日
2020/2/24,3,0,32,0,0,9.8,1,0,0,0,0,0,0,月,平日
2020/2/25,0,3,32,0,0,10.5,0,1,0,0,0,0,0,火,平日
2020/2/26,3,0,35,1,1,8.1,0,0,1,0,0,0,0,水,平日
2020/2/27,1,3,36,0,1,7,0,0,0,1,0,0,0,木,平日
2020/2/28,0,1,36,0,1,7,0,0,0,0,1,0,0,金,平日
2020/2/29,1,0,37,0,1,9.4,0,0,0,0,0,1,0,土,休日
2020/3/1,2,1,39,0,1,12,0,0,0,0,0,0,1,日,休日
2020/3/2,0,2,39,0,1,7.3,1,0,0,0,0,0,0,月,平日
2020/3/3,1,0,40,0,1,11.3,0,1,0,0,0,0,0,火,平日
2020/3/4,4,1,44,0,1,8.9,0,0,1,0,0,0,0,水,平日
