‘S‘’n•ûŒö‹¤’c‘ÌƒR[ƒh,“s“¹•{Œ§–¼,Žs‹æ’¬‘º–¼,”»–¾_”NŒŽ“ú,PCRŒŸ¸—z«ŽÒ”,RŒ´ŒŸ¸—z«ŽÒ”,PCRŒŸ¸‰A«ŽÒ”,RŒ´ŒŸ¸‰A«ŽÒ”,ŒŸ¸l”(7“úŠÔˆÚ“®•½‹Ï),—z«—¦
130001,“Œ‹ž“s,,2020/2/15,8,,122,,0,
130001,“Œ‹ž“s,,2020/2/16,5,,69,,0,
130001,“Œ‹ž“s,,2020/2/17,3,,4,,0,
130001,“Œ‹ž“s,,2020/2/18,0,,24,,0,
130001,“Œ‹ž“s,,2020/2/19,3,,77,,0,
130001,“Œ‹ž“s,,2020/2/20,2,,58,,0,
130001,“Œ‹ž“s,,2020/2/21,2,,33,,58.6,0.056
130001,“Œ‹ž“s,,2020/2/22,1,,33,,44.9,0.051
130001,“Œ‹ž“s,,2020/2/23,1,,6,,35.3,0.049
130001,“Œ‹ž“s,,2020/2/24,1,,13,,36.3,0.039
130001,“Œ‹ž“s,,2020/2/25,0,,44,,39.1,0.036
130001,“Œ‹ž“s,,2020/2/26,3,,48,,35,0.041
130001,“Œ‹ž“s,,2020/2/27,1,,67,,36.1,0.036
130001,“Œ‹ž“s,,2020/2/28,0,,64,,40.3,0.025
130001,“Œ‹ž“s,,2020/2/29,1,,55,,43.4,0.023
130001,“Œ‹ž“s,,2020/3/1,2,,12,,44.4,0.026
130001,“Œ‹ž“s,,2020/3/2,0,,32,,47,0.021
130001,“Œ‹ž“s,,2020/3/3,1,,73,,51.3,0.022
130001,“Œ‹ž“s,,2020/3/4,4,,78,,55.7,0.023
130001,“Œ‹ž“s,,2020/3/5,8,,71,,57.3,0.04
130001,“Œ‹ž“s,,2020/3/6,6,,65,,58.3,0.054
130001,“Œ‹ž“s,,2020/3/7,6,,88,,63.7,0.061
130001,“Œ‹ž“s,,2020/3/8,0,,0,,61.7,0.058
130001,“Œ‹ž“s,,2020/3/9,0,,23,,60.4,0.059
130001,“Œ‹ž“s,,2020/3/10,3,,62,,59.1,0.065
130001,“Œ‹ž“s,,2020/3/11,5,,114,,64.4,0.062
130001,“Œ‹ž“s,,2020/3/12,2,,82,,65.1,0.048
130001,“Œ‹ž“s,,2020/3/13,2,,56,,63.3,0.041
130001,“Œ‹ž“s,,2020/3/14,7,,64,,60,0.045
130001,“Œ‹ž“s,,2020/3/15,0,,0,,60,0.045
130001,“Œ‹ž“s,,2020/3/16,0,,19,,59.4,0.046
130001,“Œ‹ž“s,,2020/3/17,11,,60,,60.3,0.064
130001,“Œ‹ž“s,,2020/3/18,4,,101,,58.3,0.064
130001,“Œ‹ž“s,,2020/3/19,5,,44,,53.3,0.078
130001,“Œ‹ž“s,,2020/3/20,6,,9,,47.1,0.1
130001,“Œ‹ž“s,,2020/3/21,0,,44,,43.3,0.086
130001,“Œ‹ž“s,,2020/3/22,0,,1,,43.4,0.086
130001,“Œ‹ž“s,,2020/3/23,12,,44,,48.7,0.111
130001,“Œ‹ž“s,,2020/3/24,14,,60,,49.1,0.119
130001,“Œ‹ž“s,,2020/3/25,27,,68,,47.7,0.192
130001,“Œ‹ž“s,,2020/3/26,27,,60,,53.1,0.231
130001,“Œ‹ž“s,,2020/3/27,32,,111,,71.4,0.224
130001,“Œ‹ž“s,,2020/3/28,49,,195,,100,0.23
130001,“Œ‹ž“s,,2020/3/29,46,,285,,147.1,0.201
130001,“Œ‹ž“s,,2020/3/30,0,,41,,145,0.192
130001,“Œ‹ž“s,,2020/3/31,46,,99,,155.1,0.209
130001,“Œ‹ž“s,,2020/4/1,54,,110,,165,0.22
130001,“Œ‹ž“s,,2020/4/2,69,,400,,219.6,0.193
130001,“Œ‹ž“s,,2020/4/3,78,,473,,277.9,0.176
130001,“Œ‹ž“s,,2020/4/4,4,,61,,252.3,0.168
130001,“Œ‹ž“s,,2020/4/5,61,,1,,213.9,0.208
130001,“Œ‹ž“s,,2020/4/6,79,,277,,258.9,0.216
130001,“Œ‹ž“s,,2020/4/7,60,,211,,276.9,0.209
130001,“Œ‹ž“s,,2020/4/8,125,,241,,305.7,0.222
130001,“Œ‹ž“s,,2020/4/9,90,,254,,287.9,0.247
130001,“Œ‹ž“s,,2020/4/10,143,,219,,260.9,0.308
130001,“Œ‹ž“s,,2020/4/11,159,,344,,323.4,0.317
130001,“Œ‹ž“s,,2020/4/12,6,,51,,322.7,0.293
130001,“Œ‹ž“s,,2020/4/13,74,,176,,307.6,0.305
130001,“Œ‹ž“s,,2020/4/14,26,,65,,281.9,0.316
130001,“Œ‹ž“s,,2020/4/15,33,,127,,252.4,0.301
130001,“Œ‹ž“s,,2020/4/16,136,,374,,276.1,0.298
130001,“Œ‹ž“s,,2020/4/17,84,,245,,271.4,0.273
130001,“Œ‹ž“s,,2020/4/18,75,,284,,250.9,0.247
130001,“Œ‹ž“s,,2020/4/19,60,,244,,286.1,0.244
130001,“Œ‹ž“s,,2020/4/20,59,,237,,292.7,0.231
130001,“Œ‹ž“s,,2020/4/21,25,,142,,303.6,0.222
130001,“Œ‹ž“s,,2020/4/22,40,,221,,318,0.215
130001,“Œ‹ž“s,,2020/4/23,75,,417,,315.4,0.189
130001,“Œ‹ž“s,,2020/4/24,40,,280,,314.1,0.17
130001,“Œ‹ž“s,,2020/4/25,47,,270,,308.1,0.16
130001,“Œ‹ž“s,,2020/4/26,35,,278,,309.4,0.148
130001,“Œ‹ž“s,,2020/4/27,28,,270,,309.7,0.134
130001,“Œ‹ž“s,,2020/4/28,4,,123,,304,0.126
130001,“Œ‹ž“s,,2020/4/29,32,,204,,300.4,0.124
130001,“Œ‹ž“s,,2020/4/30,46,,454,,301.6,0.11
130001,“Œ‹ž“s,,2020/5/1,18,,289,,299.7,0.1
130001,“Œ‹ž“s,,2020/5/2,19,,280,,297.1,0.088
130001,“Œ‹ž“s,,2020/5/3,32,,446,,320.7,0.08
130001,“Œ‹ž“s,,2020/5/4,7,,260,,316.3,0.071
130001,“Œ‹ž“s,,2020/5/5,9,,135,,318.7,0.073
130001,“Œ‹ž“s,,2020/5/6,7,,98,,300,0.066
130001,“Œ‹ž“s,,2020/5/7,25,,1106,,390.1,0.043
130001,“Œ‹ž“s,,2020/5/8,20,,1203,,521,0.033
130001,“Œ‹ž“s,,2020/5/9,28,,969,,620.7,0.029
130001,“Œ‹ž“s,,2020/5/10,19,,647,,647.6,0.025
130001,“Œ‹ž“s,,2020/5/11,25,,1167,,779.7,0.024
130001,“Œ‹ž“s,,2020/5/12,15,,1484,,973.3,0.02
130001,“Œ‹ž“s,,2020/5/13,10,0,1390,0,1158.3,0.018
130001,“Œ‹ž“s,,2020/5/14,15,0,1459,0,1207.3,0.016
130001,“Œ‹ž“s,,2020/5/15,9,0,1305,0,1220.3,0.014
130001,“Œ‹ž“s,,2020/5/16,5,0,827,0,1196.7,0.012
130001,“Œ‹ž“s,,2020/5/17,3,0,411,0,1160.7,0.01
130001,“Œ‹ž“s,,2020/5/18,11,0,1102,5,1150.1,0.008
130001,“Œ‹ž“s,,2020/5/19,11,0,1150,13,1103.7,0.008
130001,“Œ‹ž“s,,2020/5/20,7,0,1057,20,1058.6,0.008
130001,“Œ‹ž“s,,2020/5/21,10,1,1047,18,1001.7,0.008
130001,“Œ‹ž“s,,2020/5/22,8,0,1103,15,974.9,0.008
130001,“Œ‹ž“s,,2020/5/23,9,0,537,16,936.3,0.009
130001,“Œ‹ž“s,,2020/5/24,5,0,354,2,928.7,0.01
130001,“Œ‹ž“s,,2020/5/25,10,0,910,34,905.3,0.01
130001,“Œ‹ž“s,,2020/5/26,21,0,1036,47,895.3,0.011
130001,“Œ‹ž“s,,2020/5/27,12,0,1054,39,898.3,0.012
130001,“Œ‹ž“s,,2020/5/28,19,1,1048,42,903.1,0.013
130001,“Œ‹ž“s,,2020/5/29,20,5,1150,31,914.6,0.016
130001,“Œ‹ž“s,,2020/5/30,14,0,548,51,921.9,0.017
130001,“Œ‹ž“s,,2020/5/31,12,0,369,8,925.9,0.018
130001,“Œ‹ž“s,,2020/6/1,27,0,1399,71,1003.4,0.019
130001,“Œ‹ž“s,,2020/6/2,23,1,1423,83,1064.3,0.018
130001,“Œ‹ž“s,,2020/6/3,28,1,1581,84,1148.4,0.019
130001,“Œ‹ž“s,,2020/6/4,38,1,1670,87,1246.4,0.019
130001,“Œ‹ž“s,,2020/6/5,16,2,1891,87,1359.3,0.017
130001,“Œ‹ž“s,,2020/6/6,30,2,1106,54,1442,0.018
130001,“Œ‹ž“s,,2020/6/7,3,1,410,27,1449.4,0.017
130001,“Œ‹ž“s,,2020/6/8,23,0,1720,102,1499.1,0.016
130001,“Œ‹ž“s,,2020/6/9,23,2,1787,101,1553.9,0.016
130001,“Œ‹ž“s,,2020/6/10,41,0,1860,101,1597.9,0.016
130001,“Œ‹ž“s,,2020/6/11,31,0,1795,76,1613,0.015
130001,“Œ‹ž“s,,2020/6/12,56,1,2061,108,1645.9,0.018
130001,“Œ‹ž“s,,2020/6/13,27,0,1078,73,1643.9,0.018
130001,“Œ‹ž“s,,2020/6/14,13,1,463,27,1652.9,0.019
130001,“Œ‹ž“s,,2020/6/15,21,3,1869,108,1675.1,0.019
130001,“Œ‹ž“s,,2020/6/16,30,1,1785,96,1675,0.019
130001,“Œ‹ž“s,,2020/6/17,29,0,1819,98,1667,0.018
130001,“Œ‹ž“s,,2020/6/18,37,4,1817,95,1674.3,0.019
130001,“Œ‹ž“s,,2020/6/19,75,3,2036,74,1668.9,0.021
130001,“Œ‹ž“s,,2020/6/20,24,3,1047,87,1666.4,0.021
130001,“Œ‹ž“s,,2020/6/21,17,0,381,30,1655.6,0.021
130001,“Œ‹ž“s,,2020/6/22,47,2,1918,124,1668.4,0.023
130001,“Œ‹ž“s,,2020/6/23,66,3,1791,120,1678.1,0.026
130001,“Œ‹ž“s,,2020/6/24,54,1,1902,138,1699.4,0.028
130001,“Œ‹ž“s,,2020/6/25,63,1,1826,126,1708.4,0.03
130001,“Œ‹ž“s,,2020/6/26,71,4,2154,143,1734.7,0.029
130001,“Œ‹ž“s,,2020/6/27,59,2,1280,115,1776.9,0.031
130001,“Œ‹ž“s,,2020/6/28,29,3,496,41,1797,0.032
130001,“Œ‹ž“s,,2020/6/29,86,11,2150,199,1847.7,0.035
130001,“Œ‹ž“s,,2020/6/30,74,7,2191,163,1912.7,0.035
130001,“Œ‹ž“s,,2020/7/1,128,4,2235,179,1977.1,0.039
130001,“Œ‹ž“s,,2020/7/2,127,5,2252,163,2053,0.042
130001,“Œ‹ž“s,,2020/7/3,133,8,2643,221,2143.4,0.045
130001,“Œ‹ž“s,,2020/7/4,78,3,1432,199,2180,0.046
130001,“Œ‹ž“s,,2020/7/5,85,7,722,86,2227.3,0.048
130001,“Œ‹ž“s,,2020/7/6,112,15,2807,281,2337.1,0.048
130001,“Œ‹ž“s,,2020/7/7,194,13,2597,215,2420.6,0.054
130001,“Œ‹ž“s,,2020/7/8,207,13,3047,224,2555.6,0.056
130001,“Œ‹ž“s,,2020/7/9,177,12,2932,207,2667.1,0.057
130001,“Œ‹ž“s,,2020/7/10,215,21,3383,253,2791,0.059
130001,“Œ‹ž“s,,2020/7/11,179,7,2142,209,2908.9,0.062
130001,“Œ‹ž“s,,2020/7/12,50,3,791,120,2918,0.06
130001,“Œ‹ž“s,,2020/7/13,156,21,3785,370,3077.6,0.059
130001,“Œ‹ž“s,,2020/7/14,214,13,3358,349,3208.3,0.057
130001,“Œ‹ž“s,,2020/7/15,278,14,3806,315,3340,0.058
