‘S‘’n•ûŒö‹¤’c‘ÌƒR[ƒh,“s“¹•{Œ§–¼,Žs‹æ’¬‘º–¼,”­¶_”NŒŽ“ú,‹~‹}ˆã—Ã_“Œ‹žƒ‹[ƒ‹“K—pŒ”,‹~‹}ˆã—Ã_“Œ‹žƒ‹[ƒ‹“K—pŒ”_7“úŠÔˆÚ“®•½‹Ï’l
130001,“Œ‹ž“s,,2020/3/1,47,
130001,“Œ‹ž“s,,2020/3/2,20,
130001,“Œ‹ž“s,,2020/3/3,25,
130001,“Œ‹ž“s,,2020/3/4,25,
130001,“Œ‹ž“s,,2020/3/5,23,
130001,“Œ‹ž“s,,2020/3/6,28,
130001,“Œ‹ž“s,,2020/3/7,34,28.9
130001,“Œ‹ž“s,,2020/3/8,25,25.7
130001,“Œ‹ž“s,,2020/3/9,38,28.3
130001,“Œ‹ž“s,,2020/3/10,19,27.4
130001,“Œ‹ž“s,,2020/3/11,19,26.6
130001,“Œ‹ž“s,,2020/3/12,23,26.6
130001,“Œ‹ž“s,,2020/3/13,25,26.1
130001,“Œ‹ž“s,,2020/3/14,22,24.4
130001,“Œ‹ž“s,,2020/3/15,32,25.4
130001,“Œ‹ž“s,,2020/3/16,42,26
130001,“Œ‹ž“s,,2020/3/17,15,25.4
130001,“Œ‹ž“s,,2020/3/18,28,26.7
130001,“Œ‹ž“s,,2020/3/19,24,26.9
130001,“Œ‹ž“s,,2020/3/20,38,28.7
130001,“Œ‹ž“s,,2020/3/21,29,29.7
130001,“Œ‹ž“s,,2020/3/22,37,30.4
130001,“Œ‹ž“s,,2020/3/23,24,27.9
130001,“Œ‹ž“s,,2020/3/24,26,29.4
130001,“Œ‹ž“s,,2020/3/25,27,29.3
130001,“Œ‹ž“s,,2020/3/26,24,29.3
130001,“Œ‹ž“s,,2020/3/27,41,29.7
130001,“Œ‹ž“s,,2020/3/28,41,31.4
130001,“Œ‹ž“s,,2020/3/29,39,31.7
130001,“Œ‹ž“s,,2020/3/30,48,35.1
130001,“Œ‹ž“s,,2020/3/31,43,37.6
130001,“Œ‹ž“s,,2020/4/1,48,40.6
130001,“Œ‹ž“s,,2020/4/2,53,44.7
130001,“Œ‹ž“s,,2020/4/3,69,48.7
130001,“Œ‹ž“s,,2020/4/4,76,53.7
130001,“Œ‹ž“s,,2020/4/5,82,59.9
130001,“Œ‹ž“s,,2020/4/6,78,64.1
130001,“Œ‹ž“s,,2020/4/7,99,72.1
130001,“Œ‹ž“s,,2020/4/8,81,76.9
130001,“Œ‹ž“s,,2020/4/9,89,82
130001,“Œ‹ž“s,,2020/4/10,69,82
130001,“Œ‹ž“s,,2020/4/11,84,83.1
130001,“Œ‹ž“s,,2020/4/12,108,86.9
130001,“Œ‹ž“s,,2020/4/13,82,87.4
130001,“Œ‹ž“s,,2020/4/14,79,84.6
130001,“Œ‹ž“s,,2020/4/15,98,87
130001,“Œ‹ž“s,,2020/4/16,53,81.9
130001,“Œ‹ž“s,,2020/4/17,55,79.9
130001,“Œ‹ž“s,,2020/4/18,88,80.4
130001,“Œ‹ž“s,,2020/4/19,118,81.9
130001,“Œ‹ž“s,,2020/4/20,67,79.7
130001,“Œ‹ž“s,,2020/4/21,64,77.6
130001,“Œ‹ž“s,,2020/4/22,69,73.4
130001,“Œ‹ž“s,,2020/4/23,50,73
130001,“Œ‹ž“s,,2020/4/24,78,76.3
130001,“Œ‹ž“s,,2020/4/25,82,75.4
130001,“Œ‹ž“s,,2020/4/26,100,72.9
130001,“Œ‹ž“s,,2020/4/27,73,73.7
130001,“Œ‹ž“s,,2020/4/28,85,76.7
130001,“Œ‹ž“s,,2020/4/29,108,82.3
130001,“Œ‹ž“s,,2020/4/30,80,86.6
130001,“Œ‹ž“s,,2020/5/1,61,84.1
130001,“Œ‹ž“s,,2020/5/2,121,89.7
130001,“Œ‹ž“s,,2020/5/3,103,90.1
130001,“Œ‹ž“s,,2020/5/4,115,96.1
130001,“Œ‹ž“s,,2020/5/5,112,100
130001,“Œ‹ž“s,,2020/5/6,70,94.6
130001,“Œ‹ž“s,,2020/5/7,66,92.6
130001,“Œ‹ž“s,,2020/5/8,68,93.6
130001,“Œ‹ž“s,,2020/5/9,57,84.4
130001,“Œ‹ž“s,,2020/5/10,81,81.3
130001,“Œ‹ž“s,,2020/5/11,61,73.6
130001,“Œ‹ž“s,,2020/5/12,46,64.1
130001,“Œ‹ž“s,,2020/5/13,42,60.1
130001,“Œ‹ž“s,,2020/5/14,45,57.1
130001,“Œ‹ž“s,,2020/5/15,34,52.3
130001,“Œ‹ž“s,,2020/5/16,37,49.4
130001,“Œ‹ž“s,,2020/5/17,73,48.3
130001,“Œ‹ž“s,,2020/5/18,44,45.9
130001,“Œ‹ž“s,,2020/5/19,27,43.1
130001,“Œ‹ž“s,,2020/5/20,20,40
130001,“Œ‹ž“s,,2020/5/21,33,38.3
130001,“Œ‹ž“s,,2020/5/22,30,37.7
130001,“Œ‹ž“s,,2020/5/23,28,36.4
130001,“Œ‹ž“s,,2020/5/24,35,31
130001,“Œ‹ž“s,,2020/5/25,35,29.7
130001,“Œ‹ž“s,,2020/5/26,30,30.1
130001,“Œ‹ž“s,,2020/5/27,30,31.6
130001,“Œ‹ž“s,,2020/5/28,30,31.1
130001,“Œ‹ž“s,,2020/5/29,23,30.1
130001,“Œ‹ž“s,,2020/5/30,33,30.9
130001,“Œ‹ž“s,,2020/5/31,36,31
130001,“Œ‹ž“s,,2020/6/1,32,30.6
130001,“Œ‹ž“s,,2020/6/2,28,30.3
130001,“Œ‹ž“s,,2020/6/3,38,31.4
130001,“Œ‹ž“s,,2020/6/4,27,31
130001,“Œ‹ž“s,,2020/6/5,30,32
130001,“Œ‹ž“s,,2020/6/6,39,32.9
130001,“Œ‹ž“s,,2020/6/7,41,33.6
130001,“Œ‹ž“s,,2020/6/8,28,33
130001,“Œ‹ž“s,,2020/6/9,28,33
130001,“Œ‹ž“s,,2020/6/10,30,31.9
130001,“Œ‹ž“s,,2020/6/11,30,32.3
130001,“Œ‹ž“s,,2020/6/12,27,31.9
130001,“Œ‹ž“s,,2020/6/13,31,30.7
130001,“Œ‹ž“s,,2020/6/14,41,30.7
130001,“Œ‹ž“s,,2020/6/15,41,32.6
130001,“Œ‹ž“s,,2020/6/16,25,32.1
130001,“Œ‹ž“s,,2020/6/17,21,30.9
130001,“Œ‹ž“s,,2020/6/18,20,29.4
130001,“Œ‹ž“s,,2020/6/19,22,28.7
130001,“Œ‹ž“s,,2020/6/20,22,27.4
130001,“Œ‹ž“s,,2020/6/21,64,30.7
130001,“Œ‹ž“s,,2020/6/22,28,28.9
130001,“Œ‹ž“s,,2020/6/23,30,29.6
130001,“Œ‹ž“s,,2020/6/24,33,31.3
130001,“Œ‹ž“s,,2020/6/25,27,32.3
130001,“Œ‹ž“s,,2020/6/26,34,34
130001,“Œ‹ž“s,,2020/6/27,32,35.4
130001,“Œ‹ž“s,,2020/6/28,29,30.4
130001,“Œ‹ž“s,,2020/6/29,27,30.3
130001,“Œ‹ž“s,,2020/6/30,27,29.9
130001,“Œ‹ž“s,,2020/7/1,25,28.7
130001,“Œ‹ž“s,,2020/7/2,26,28.6
130001,“Œ‹ž“s,,2020/7/3,11,25.3
130001,“Œ‹ž“s,,2020/7/4,34,25.6
130001,“Œ‹ž“s,,2020/7/5,35,26.4
130001,“Œ‹ž“s,,2020/7/6,27,26.4
130001,“Œ‹ž“s,,2020/7/7,29,26.7
130001,“Œ‹ž“s,,2020/7/8,23,26.4
130001,“Œ‹ž“s,,2020/7/9,27,26.6
130001,“Œ‹ž“s,,2020/7/10,22,28.1
130001,“Œ‹ž“s,,2020/7/11,38,28.7
130001,“Œ‹ž“s,,2020/7/12,48,30.6
130001,“Œ‹ž“s,,2020/7/13,33,31.4
130001,“Œ‹ž“s,,2020/7/14,28,31.3
130001,“Œ‹ž“s,,2020/7/15,23,31.3
130001,“Œ‹ž“s,,2020/7/16,25,31
130001,“Œ‹ž“s,,2020/7/17,25,31.4
130001,“Œ‹ž“s,,2020/7/18,25,29.6
130001,“Œ‹ž“s,,2020/7/19,39,28.3
130001,“Œ‹ž“s,,2020/7/20,53,31.1
130001,“Œ‹ž“s,,2020/7/21,27,31
130001,“Œ‹ž“s,,2020/7/22,49,34.7
130001,“Œ‹ž“s,,2020/7/23,49,38.1
130001,“Œ‹ž“s,,2020/7/24,45,41
130001,“Œ‹ž“s,,2020/7/25,51,44.7
130001,“Œ‹ž“s,,2020/7/26,44,45.4
130001,“Œ‹ž“s,,2020/7/27,38,43.3
130001,“Œ‹ž“s,,2020/7/28,39,45
130001,“Œ‹ž“s,,2020/7/29,43,44.1
130001,“Œ‹ž“s,,2020/7/30,33,41.9
130001,“Œ‹ž“s,,2020/7/31,34,40.3
130001,“Œ‹ž“s,,2020/8/1,46,39.6
130001,“Œ‹ž“s,,2020/8/2,49,40.3
130001,“Œ‹ž“s,,2020/8/3,38,40.3
130001,“Œ‹ž“s,,2020/8/4,50,41.9
130001,“Œ‹ž“s,,2020/8/5,46,42.3
130001,“Œ‹ž“s,,2020/8/6,46,44.1
130001,“Œ‹ž“s,,2020/8/7,52,46.7
130001,“Œ‹ž“s,,2020/8/8,61,48.9
130001,“Œ‹ž“s,,2020/8/9,65,51.1
130001,“Œ‹ž“s,,2020/8/10,82,57.4
130001,“Œ‹ž“s,,2020/8/11,93,63.6
130001,“Œ‹ž“s,,2020/8/12,69,66.9
