ダウンロードした時刻：2021/07/04 19:18:38,,,,,,
,,,,,,
,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),日照時間(時間),平均風速(m/s),平均湿度(％),平均現地気圧(hPa),平均雲量(10分比)
,,,,,,
2020/1/16,0,3.9,2.2,49,1018.1,6.8
2020/1/17,0,4.3,2.5,59,1016,10
2020/1/18,8.5,0,3.1,84,1010.5,10
2020/1/19,0,8,2.4,64,1011.3,5.3
2020/1/20,0,9.1,2,62,1009.1,2.3
2020/1/21,0,9.2,3.8,46,1017.2,0
2020/1/22,0,0.7,1.9,55,1025.1,7.5
2020/1/23,2.5,0,1.8,84,1018.2,9.8
2020/1/24,0,0.6,1.8,73,1019,8.8
2020/1/25,0,0.7,2.6,47,1024.6,9.8
2020/1/26,6,0,1.3,78,1023.7,10
2020/1/27,5,0,2,72,1022.7,10
2020/1/28,55.5,0,3.6,98,1014.5,10
2020/1/29,28,5.8,2.5,83,998.9,7.8
2020/1/30,0,8.6,2.1,61,995.7,1.8
2020/1/31,0,6.9,4.8,44,1001.6,3
2020/2/1,0,9.2,3.6,40,1011.6,0
2020/2/2,0,9.2,2.9,40,1018.3,5
2020/2/3,0,4.6,2.4,52,1014.3,9.5
2020/2/4,0,1.9,2.4,54,1016.4,6.3
2020/2/5,0,9.1,3,49,1009.5,2.3
2020/2/6,0,9.4,4.9,34,1019.7,2.5
2020/2/7,0,8.4,2,48,1022.8,7.3
2020/2/8,0,9.2,2.4,45,1010.6,5
2020/2/9,0,9.7,4,37,1013.1,0
2020/2/10,0,7.3,2.2,46,1011.8,2.8
2020/2/11,0,9.7,2.6,46,1022.7,0.3
2020/2/12,0,8.8,2,51,1022.1,7.5
2020/2/13,0,5.7,1.7,61,1011.8,5
2020/2/14,0,3.1,1.7,75,1015.4,7.5
2020/2/15,0,2.4,1.7,66,1017,7.3
2020/2/16,8.5,0,1.8,91,1006,10
2020/2/17,0,3.5,2.3,86,997.7,7.3
2020/2/18,0,9.2,2.7,44,1008.2,2.8
2020/2/19,0,9.5,2.7,44,1021.7,4
2020/2/20,0,4.6,2.2,58,1025.7,7.8
2020/2/21,0,9.1,2.8,64,1030.5,2.8
2020/2/22,2.5,4.1,4.1,77,1016.7,6.8
2020/2/23,0,9.7,3.3,35,1012.9,1.8
2020/2/24,0,9.5,2.5,50,1018.3,3.3
2020/2/25,0,3.6,2.1,60,1016.2,10
2020/2/26,3,0,2.2,88,1011.6,10
2020/2/27,0,10.6,4.2,49,1014.9,0.8
2020/2/28,0,9,2.7,48,1019.7,6
2020/2/29,1,6,2.2,64,1015,8
2020/3/1,0.5,9.5,2.4,65,1012.7,7.3
2020/3/2,10,0,2.5,94,1013.5,10
2020/3/3,0,10.1,3.2,59,1017.3,6.5
2020/3/4,1.5,0,2.1,85,1015.4,10
2020/3/5,1,5.9,5.1,53,1003.7,4.8
2020/3/6,0,10.7,4,33,1014.4,0.3
2020/3/7,1.5,0,2.4,68,1020.2,10
2020/3/8,6,0,2.5,94,1015.5,10
2020/3/9,0,3.9,2.7,79,1013.7,7.5
2020/3/10,24.5,0,2.5,97,1000.1,7.5
2020/3/11,0,7.9,3.3,58,997.3,6.3
2020/3/12,0,10,4.1,48,1016.7,1
2020/3/13,0,7,2.4,62,1012.5,7.5
2020/3/14,25,0,3.2,88,1006.1,9.3
2020/3/15,0,8.4,2.6,67,1002.6,4
2020/3/16,0,9.2,4.7,55,1003.9,2
2020/3/17,0,8.4,3.3,47,1012.1,2.5
2020/3/18,0,10.7,2.7,52,1010,0.3
2020/3/19,1,11,3.7,65,1006.7,2.5
2020/3/20,0,8.9,3.5,48,999.7,3
2020/3/21,0,11,2.9,44,1007.9,0.5
2020/3/22,0,9.8,3.5,49,1003.9,6.8
2020/3/23,0,2.4,2.7,59,1007.3,8.5
2020/3/24,0,11.3,4.7,44,1011.6,2.5
2020/3/25,0,11.9,3,45,1017.4,0.5
2020/3/26,0,10.6,2.2,50,1017.9,3.5
2020/3/27,0,1.4,4.7,69,1012.7,8
2020/3/28,8.5,0.9,4.4,83,1008.8,10
2020/3/29,51.5,0,2.8,96,1016.7,10
2020/3/30,0,1,1.9,72,1020.1,10
2020/3/31,0,0,1.9,79,1019.4,10
2020/4/1,31,0,2.7,97,1003.9,10
2020/4/2,0,11.9,6.2,45,1003.7,3.8
2020/4/3,0,9.9,3.3,50,1016.8,4.8
2020/4/4,0,11.5,3.9,62,1010.6,0.5
2020/4/5,0,1.2,2.6,73,1008.4,6.3
2020/4/6,0,11.3,3,43,1011.1,4.5
2020/4/7,0,8.9,2.7,50,1010.6,6.5
2020/4/8,0,11.7,2.6,60,1009.5,2
2020/4/9,0.5,8.3,3.3,62,1012.6,5
2020/4/10,0,9.9,3.8,49,1014.6,6.8
2020/4/11,0.5,9,3.2,48,1015.3,6.5
2020/4/12,6.5,0.6,2.5,84,1011,10
2020/4/13,132,0,3.9,97,993,10
2020/4/14,1.5,11.8,4.7,54,1002.2,2.5
2020/4/15,0,9.1,3.1,48,1008.9,7.3
2020/4/16,0.5,5.9,3.7,66,1014.4,10
2020/4/17,0.5,4.8,3,62,1021.3,9.5
2020/4/18,89.5,0.7,3.1,96,1006.4,8
2020/4/19,0,11.3,3.5,64,1009.5,4.3
2020/4/20,15,0,2.5,94,1008.8,9.8
2020/4/21,0,1.6,1.7,82,1003.7,7
2020/4/22,0,3.4,2.3,65,1001.3,10
2020/4/23,1,10,3.1,56,1004.4,6.5
2020/4/24,0.5,7.3,3.3,55,1007.2,7
2020/4/25,0,12.5,3.7,61,1014,0
2020/4/26,0,10.5,5,52,1009.7,7.5
2020/4/27,12.5,1.4,2.4,78,1013.4,10
2020/4/28,5,5,2.1,85,1014.6,9.5
2020/4/29,0,12.2,2.7,69,1015.4,1.8
2020/4/30,0,11.7,3,66,1015.7,0
2020/5/1,0,11.9,4.1,67,1010.9,4
2020/5/2,0,12.2,2.8,73,1009.4,0.8
2020/5/3,0,7.1,4.7,70,1009.7,9.8
2020/5/4,2,1.5,3.1,87,1005.3,10
2020/5/5,0,7.7,3.2,73,1006.4,6.5
2020/5/6,19,0,2.1,90,1009.1,10
2020/5/7,0.5,12.1,3.3,61,1011.8,4.3
2020/5/8,0,10.7,3.5,48,1018.4,3.8
2020/5/9,0,3.4,4.3,64,1014.8,10
2020/5/10,1,1,5.3,82,1002.7,10
2020/5/11,0.5,9.1,3,80,999.1,5.5
2020/5/12,0,4.7,2.8,75,1002.4,10
2020/5/13,0,11.1,2.7,55,1003.1,4.5
2020/5/14,0,12.5,3.4,40,1013.6,4
2020/5/15,0,8.1,3.9,52,1015,7.5
2020/5/16,24,0,4.1,89,1007.8,10
2020/5/17,0,11.7,2.7,74,1000.2,5.8
2020/5/18,2,0,2,91,1005.5,10
2020/5/19,54.5,0,3,97,997.1,10
2020/5/20,3,0,2.5,90,1005.1,10
2020/5/21,0.5,0,2,89,1013,10
2020/5/22,1,0,2.4,89,1014.9,10
2020/5/23,0,2.8,2.4,86,1011.8,8.5
2020/5/24,0,11,3.2,75,1011.6,6.3
2020/5/25,0,6.6,3,72,1007.6,9.3
2020/5/26,0.5,0.2,2,87,1005.1,9.5
2020/5/27,0,4.4,2.1,81,1000.5,9.8
2020/5/28,9.5,3.7,2.7,69,1004.7,8.8
2020/5/29,0,12.9,2.8,65,1010.6,3.5
2020/5/30,0,8.9,3.2,71,1016.8,7
2020/5/31,0,0.2,3.4,73,1015.9,8
2020/6/1,4,0,1.8,93,1009.7,10
2020/6/2,0,4.1,2.3,87,1004.1,10
2020/6/3,0,6.2,2.4,76,1002.5,9.8
2020/6/4,0,5.4,2.8,79,1002.8,10
2020/6/5,0,8.1,3.3,74,1002.5,9.3
2020/6/6,6.5,1.9,2.6,77,1003.8,10
2020/6/7,0.5,8.6,2.9,67,1007,7.5
2020/6/8,0,8.9,2.9,73,1013.6,5.8
2020/6/9,0,13,3.1,68,1015.1,7.3
2020/6/10,0,11.1,5.4,65,1012,4.8
2020/6/11,10,3.5,5.9,85,1004.1,9.5
2020/6/12,5.5,4,2.5,84,1001.5,9
2020/6/13,35.5,0,2.2,99,1004.9,10
2020/6/14,5.5,0,1.6,99,1002.4,10
2020/6/15,0,7.3,2.4,81,997.5,9.5
2020/6/16,0,8,3.4,68,997.9,7.3
2020/6/17,0,13.1,3.5,63,1003.7,4
2020/6/18,2,0,2,82,1004.3,10
2020/6/19,50,0,2.2,99,999.1,10
2020/6/20,0,9.3,2.8,76,1004.3,6.5
2020/6/21,2.5,1.4,2.5,83,1009,10
2020/6/22,27.5,0,3.5,95,1006.1,10
2020/6/23,3,2.7,2.6,86,1007.4,9.3
2020/6/24,0,1.9,2.6,84,1010.4,9.5
2020/6/25,14.5,0,1.9,94,1006.7,10
2020/6/26,0,4.9,1.7,85,1001.7,9
