Date,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,HONG KONG,IRELAND,ISRAEL,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SINGAPORE,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,USA
26-Jun-17,780.968,"1,233.39","1,724.34","1,592.46","9,420.97",534.627,"1,797.56","2,176.93","11,263.71",196.771,213.146,260.789,"3,097.15","2,967.20",146.586,"2,115.06",63.576,"3,671.71",480.853,"7,717.01","5,360.63","1,148.03","2,324.05"
27-Jun-17,780.489,"1,255.96","1,723.88","1,595.88","9,359.30",531.721,"1,797.56","2,175.35","11,238.33",194.942,211.04,260.153,"3,088.14","2,971.06",146.63,"2,126.90",63.517,"3,684.86",482.427,"7,700.92","5,360.10","1,149.03","2,304.86"
28-Jun-17,788.418,"1,269.21","1,731.33","1,618.77","9,379.46",535.256,"1,806.89","2,185.37","11,165.08",196.527,212.941,265.283,"3,084.69","2,977.38",146.938,"2,138.35",63.88,"3,695.88",488.293,"7,780.61","5,387.11","1,156.34","2,325.31"
29-Jun-17,804.469,"1,275.23","1,709.91","1,614.09","9,293.31",527.01,"1,783.46","2,158.56","11,234.52",195.369,212.581,262.268,"3,088.91","2,945.73",148.262,"2,144.90",63.841,"3,761.43",483.584,"7,766.89","5,329.28","1,155.99","2,305.22"
30-Jun-17,790.36,"1,279.96","1,702.05","1,609.51","9,343.52",525.081,"1,769.58","2,140.32","11,148.96",194.308,213.13,260.056,"3,071.50","2,936.73",146.634,"2,157.92",63.803,"3,729.07",478.062,"7,764.44","5,306.77","1,149.40","2,308.82"
3-Jul-17,783.199,"1,294.94","1,711.66","1,608.40","9,386.59",531.89,"1,786.27","2,158.50","11,088.41",195.058,213.021,264.656,"3,050.15","2,957.17",145.62,"2,184.87",64.005,"3,708.14",484.913,"7,847.21","5,333.45","1,154.82","2,313.91"
4-Jul-17,793.203,"1,299.13","1,709.58","1,613.67","9,341.87",529.368,"1,777.06","2,148.42","10,921.30",195.408,212.93,264.334,"3,048.78","2,944.71",147.489,"2,192.91",64.151,"3,691.71",482.084,"7,772.68","5,299.35","1,150.96","2,313.91"
5-Jul-17,787.298,"1,295.96","1,706.19","1,606.80","9,360.99",531.335,"1,776.25","2,147.82","10,982.96",196.675,212.497,262.291,"3,061.57","2,944.86",146.114,"2,159.20",63.418,"3,733.82",479.761,"7,824.03","5,286.40","1,152.43","2,316.66"
6-Jul-17,786.433,"1,313.36","1,705.07","1,608.38","9,346.22",532.012,"1,777.26","2,149.12","11,008.16",195.78,210.106,265.643,"3,056.23","2,954.77",147.121,"2,173.24",63.368,"3,704.92",482.412,"7,833.67","5,262.19","1,149.99","2,294.33"
7-Jul-17,781.753,"1,291.57","1,717.86","1,608.91","9,332.22",533.835,"1,772.84","2,147.46","11,001.05",195.704,209.918,264.342,"3,019.86","2,956.64",147.105,"2,157.35",63.202,"3,709.36",481.21,"7,828.71","5,254.98","1,145.82","2,309.27"
10-Jul-17,783.217,"1,305.92","1,726.60","1,618.91","9,387.88",537.233,"1,778.85","2,157.26","11,069.06",196.782,209.925,266.26,"3,030.24","2,969.59",145.212,"2,178.53",63.694,"3,725.27",481.811,"7,866.27","5,276.99","1,147.05","2,311.52"
11-Jul-17,785.718,"1,311.21","1,710.95","1,618.35","9,378.48",535.432,"1,775.20","2,161.38","11,139.95",194.418,210.011,265.984,"3,042.77","2,970.15",144.492,"2,188.65",63.932,"3,698.24",480.473,"7,852.02","5,227.76","1,138.98","2,310.23"
12-Jul-17,784.774,"1,318.82","1,737.62","1,630.07","9,488.27",545.596,"1,802.54","2,193.61","11,158.49",197.164,213.887,269.964,"3,066.50","2,997.30",144.777,"2,246.81",64.762,"3,707.89",485.499,"8,013.25","5,333.59","1,156.88","2,326.87"
13-Jul-17,798.667,"1,321.11","1,749.16","1,640.43","9,460.90",544.743,"1,805.54","2,193.96","11,286.98",197.297,216.285,271.056,"3,056.15","3,009.11",146.186,"2,276.89",65.224,"3,738.51",489.471,"8,028.04","5,308.10","1,160.73","2,331.20"
14-Jul-17,812.16,"1,326.65","1,759.99","1,654.22","9,548.88",547.082,"1,813.69","2,201.83","11,280.81",197.23,213.422,271.702,"3,087.94","3,030.55",147.28,"2,285.79",65.829,"3,816.60",490.694,"8,079.50","5,339.99","1,169.00","2,341.99"
