ì˙ït,ä¥êıé“êî1ì˙,ÉâÉOïœêî,ä¥êıé“êîó›åv,éÄé“êî1ì˙,éÄé“êîó›åv,ïΩãœãCâ∑,åé,âŒ,êÖ,ñÿ,ã‡,ìy,ì˙,ójì˙,ïΩì˙ãxì˙,S,I,R,D,V,T,pop,rrI,rdI,,,,,pop2
2020/1/16,0,0,0,0,0,6.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202001,13951636
2020/1/17,0,0,0,0,0,7.3,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202002,13953577
2020/1/18,0,0,0,0,0,3.8,0,0,0,0,0,1,0,ìy,ãxì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202003,13951791
2020/1/19,0,0,0,0,0,6.5,0,0,0,0,0,0,1,ì˙,ãxì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202004,13982622
2020/1/20,0,0,0,0,0,7.5,1,0,0,0,0,0,0,åé,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202005,14002973
2020/1/21,0,0,0,0,0,7.4,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202006,13999568
2020/1/22,0,0,0,0,0,4.9,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202007,13999624
2020/1/23,0,0,0,0,0,6.1,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951636,0,0,0,0,0,13951636,0,0,,,,202008,13993721
2020/1/24,1,0,1,0,0,9.9,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951636,0,0,0,0,1,13951636,0,0,,,,202009,13981782
2020/1/25,1,1,2,0,0,7.8,0,0,0,0,0,1,0,ìy,ãxì˙,13951635,1,0,0,0,1,13951636,0,0,,,,202010,13971109
2020/1/26,0,1,2,0,0,5,0,0,0,0,0,0,1,ì˙,ãxì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202011,13963751
2020/1/27,0,0,2,0,0,5.1,1,0,0,0,0,0,0,åé,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202012,13962725
2020/1/28,0,0,2,0,0,4.4,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202101,13960236
2020/1/29,0,0,2,0,0,11.8,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951634,2,0,0,0,0,13951636,0,0,,,,202102,13952915
2020/1/30,1,0,3,0,0,11.7,0,0,0,1,0,0,0,ñÿ,ïΩì˙,13951634,2,0,0,0,1,13951636,0,0,,,,202103,13942024
2020/1/31,0,1,3,0,0,8.1,0,0,0,0,1,0,0,ã‡,ïΩì˙,13951633,3,0,0,0,0,13951636,0,0,,,,202104,13957179
2020/2/1,0,0,3,0,0,7.9,0,0,0,0,0,1,0,ìy,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,202105,13963056
2020/2/2,0,0,3,0,0,8.7,0,0,0,0,0,0,1,ì˙,ãxì˙,13951633,3,0,0,0,0,13953577,0,0,,,,202106,13957977
2020/2/3,0,0,3,0,0,9.3,1,0,0,0,0,0,0,åé,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/4,0,0,3,0,0,7.9,0,1,0,0,0,0,0,âŒ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
2020/2/5,0,0,3,0,0,7.6,0,0,1,0,0,0,0,êÖ,ïΩì˙,13951633,3,0,0,0,0,13953577,0,0,,,,,
