ì˙ït,ä¥êıé“êî1ì˙,ÉâÉOïœêî,ä¥êıé“êîó›åv,éÄé“êî1ì˙,éÄé“êîó›åv,ïΩãœãCâ∑,S,I,R,D,V,T,pop,rrI,rdI,SI,ì¸â@íÜ,åyè«ÅEíÜìôè«,èdè«,èhîëó√ó{,é©ëÓó√ó{,í≤êÆíÜ,PCRåüç∏ózê´é“êî,çRå¥åüç∏ózê´é“êî,PCRåüç∏âAê´é“êî,çRå¥åüç∏âAê´é“êî,åüç∏êlêî(7ì˙ä‘à⁄ìÆïΩãœ),ózê´ó¶,ã~ã}à„ó√_ìåãûÉãÅ[ÉãìKópåèêî,ã~ã}à„ó√_ìåãûÉãÅ[ÉãìKópåèêî_7ì˙ä‘à⁄ìÆïΩãœíl,ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa),ïΩãœâ_ó (10ï™î‰),êlìÆëùå∏ó¶ëOì˙î‰ïΩãœ,åé,âŒ,êÖ,ñÿ,ã‡,ìy,ì˙,ójì˙,ïΩì˙ãxì˙,urgent
2020/1/16,0,0,0,0,0,6.7,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.2,49,1018.1,6.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/1/17,0,0,0,0,0,7.3,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,2.5,59,1016,10,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/1/18,0,0,0,0,0,3.8,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,3.1,84,1010.5,10,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/1/19,0,0,0,0,0,6.5,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.4,64,1011.3,5.3,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/1/20,0,0,0,0,0,7.5,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,2,62,1009.1,2.3,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/1/21,0,0,0,0,0,7.4,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3.8,46,1017.2,0,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/1/22,0,0,0,0,0,4.9,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.9,55,1025.1,7.5,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/1/23,0,0,0,0,0,6.1,13951636,0,0,0,0,0,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1.8,84,1018.2,9.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/1/24,1,0,1,0,0,9.9,13951636,0,0,0,0,1,13951636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,73,1019,8.8,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/1/25,1,1,2,0,0,7.8,13951635,1,0,0,0,1,13951636,0,0,13951635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.6,47,1024.6,9.8,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
